member,dataset,source_split,images,package
member1,UIT-MLReceipts,train,373,member1/UIT-MLReceipts/train
member2,UIT-MLReceipts,train,373,member2/UIT-MLReceipts/train
member3,UIT-MLReceipts,val,358,member3/UIT-MLReceipts/val
member4,UIT-MLReceipts,test,395,member4/UIT-MLReceipts/test
member5,UIT-MLReceipts,test,394,member5/UIT-MLReceipts/test
member6,MC-OCR,validation,195,member6/MC-OCR/validation
member7,MC-OCR,validation,194,member7/MC-OCR/validation
member1,MC-OCR,train,138,member1/MC-OCR/train
member2,MC-OCR,train,138,member2/MC-OCR/train
member3,MC-OCR,train,138,member3/MC-OCR/train
member4,MC-OCR,train,138,member4/MC-OCR/train
member5,MC-OCR,train,137,member5/MC-OCR/train
member6,MC-OCR,train,137,member6/MC-OCR/train
member7,MC-OCR,train,137,member7/MC-OCR/train
member8,MC-OCR,train,137,member8/MC-OCR/train
member8,UIT-MLReceipts,train,249,member8/UIT-MLReceipts/train
