task_id,dataset,source_split,image_file,width,height,prefilled_kie_regions,sha256
member1-0001,UIT-MLReceipts,train,images/0001000.jpg,2048,1536,4,d243d76cba0e52bb59a9df37ec219051cadfa44466fdc45df5a125af12123c74
member1-0002,UIT-MLReceipts,train,images/000251.jpg,2048,1536,6,b375e35e9daaf22c1d094f52e307d88f8eda9e6152f136aace8cd424a42bf3d6
member1-0003,UIT-MLReceipts,train,images/000252.jpg,2048,1536,7,89d51ffedd9381320bf1ab9424bfee88a54f1fc665dc5ea5fa21a4f577a13725
member1-0004,UIT-MLReceipts,train,images/000253.jpg,2048,1536,7,a894d4d0aab487619d983ad04bbfd08777637f89467abe3597979970e73ad562
member1-0005,UIT-MLReceipts,train,images/000254.jpg,2048,1536,5,9192b9a4e35e6342d9f471a8de538157a93f7db29ede9ad3cea8cefd494b1129
member1-0006,UIT-MLReceipts,train,images/000255.jpg,1536,2048,7,4060dcca73d857ec523f2280f5db620a34853ea731d66d14f538c8952f5a9301
member1-0007,UIT-MLReceipts,train,images/000256.jpg,1536,2048,7,8b830bceac8c8105aaf6682408f26170a334d5885645b4a023a1c72d18715b93
member1-0008,UIT-MLReceipts,train,images/000257.jpg,1536,2048,7,10531ea76d6dfcb6583879d6e1b941637c0239486b031dd4eda1315a3d940083
member1-0009,UIT-MLReceipts,train,images/000258.jpg,2048,1536,5,5665ce0a820781f88f4fbe38d7ac971a7c83e6eed253b161f6e1368d5273ff6d
member1-0010,UIT-MLReceipts,train,images/000259.jpg,1536,2048,7,70ead4f4e746df0b5a1e776e1c32998f9533ca4110c0e069ff035ec632b40c1c
member1-0011,UIT-MLReceipts,train,images/000260.jpg,1536,2048,7,c6b1ac4d009fb0116a5651c511aa2c30aa902dfb7aba8e4b3db7b80041f2259a
member1-0012,UIT-MLReceipts,train,images/000261.jpg,2048,1536,4,41d346d28080e229e27911c3fb2cf62d43101e2dd9c2999796032ea747f7c4bc
member1-0013,UIT-MLReceipts,train,images/000262.jpg,459,918,3,0743943168c0bd049a6ae0a5a6f3075b96a51e1742e573016a892bf6c6dfe156
member1-0014,UIT-MLReceipts,train,images/000263.jpg,1536,2048,7,f911fa1afd823f472dc10b53c753e00775bf2e243f020f515b3fcfaad9ad7a36
member1-0015,UIT-MLReceipts,train,images/000264.jpg,720,960,6,44c7e5af4f3879cfe706c7d0103db1af38d030aba01b98eb406a28ce08bbf9dd
member1-0016,UIT-MLReceipts,train,images/000265.jpg,1536,2048,5,b52d82de689bacf52916b4d6151275b4e12e11dd0258bf8c45a79184dd27fb14
member1-0017,UIT-MLReceipts,train,images/000266.jpg,1536,2048,7,283934fd8c0c2776490af4a4c2b44ff1d8b16b16e88f66d05568042b7aa7ff8d
member1-0018,UIT-MLReceipts,train,images/000267.jpg,1536,2048,5,08a6b1b68c890cf36e5586ff3fdfbe7a724fd1229d2c7bb386d3e84f40347030
member1-0019,UIT-MLReceipts,train,images/000268.jpg,1536,2048,5,b09d219b60e81e833a0ba508bbfe019989d57099c9cf143b64cb1d657825c529
member1-0020,UIT-MLReceipts,train,images/000269.jpg,956,1276,6,48df5f39102c3067beb8d27d78934698ea8c2eda5c2d91ea1aa83eadcf84c463
member1-0021,UIT-MLReceipts,train,images/000270.jpg,1536,2048,7,534734fdec85e4a4c0eb3faf5ccd5903463b0a7a93de6bb0811adf1e462d5be4
member1-0022,UIT-MLReceipts,train,images/000271.jpg,1536,2048,7,27ffff145f429d4d446c3abc44285f84df52c5ee78146800dae07d641d5067c0
member1-0023,UIT-MLReceipts,train,images/000272.jpg,2048,1536,7,910bd0474f7f8cf7a4d291f5980958989a6d0ed61340cef9493d0ced936e45a1
member1-0024,UIT-MLReceipts,train,images/000273.jpg,1536,2048,7,bd48042a31a64dcdb91117380d09575408879780b1d575ea8d0d3ea8754c5284
member1-0025,UIT-MLReceipts,train,images/000274.jpg,720,960,7,c758e360e4bd90fc673ac67b13b736436cde90714abdf4c091404abe8b69a3ed
member1-0026,UIT-MLReceipts,train,images/000275.jpg,2048,1536,4,58621cffb2025cd2ec7d92fcc1fbcab8285141e177027277f896f0ba8ea6e5fb
member1-0027,UIT-MLReceipts,train,images/000276.jpg,816,612,5,1287e5ec20f2abd8b543b54d139ba46121975113a8ad96af06adfc04233f4b9a
member1-0028,UIT-MLReceipts,train,images/000277.jpg,1536,2048,5,98f7b128d579d4432308df8b08cefd63ef7a5e7f6d25e02a5c4e511bf99ffcad
member1-0029,UIT-MLReceipts,train,images/000278.jpg,960,960,6,50149f51daf6bf9a85308b4776fcd6340771215f8cdd03239804c8554e800d57
member1-0030,UIT-MLReceipts,train,images/000279.jpg,720,960,7,a096d59d96dcd4c5b60f1690823e0d457cb7ecf4447b4750543a215f119a1f81
member1-0031,UIT-MLReceipts,train,images/000280.jpg,1536,2048,4,925ce015451508a1bcf220b3f8aeb7c829feb5d03c823e90e76e00885d03a7b4
member1-0032,UIT-MLReceipts,train,images/000281.jpg,960,720,5,de882e36c47d3cf52ca92414279fadc9bb3c69f1fc176487bfa3ed57b790e5a9
member1-0033,UIT-MLReceipts,train,images/000282.jpg,1536,2048,4,21d231891ed30c3e10743f4871a4c6664f6617fd2a4c7aadd89d00421b21b6c0
member1-0034,UIT-MLReceipts,train,images/000283.jpg,1152,2048,8,397e116fee3bae6d5ff586749240086b183f07cbfd0c5b2db96a3b3e0de7e6fe
member1-0035,UIT-MLReceipts,train,images/000284.jpg,2048,1536,7,3e6a6061e9a978eb6578e6bf6d8f1e3414250359ebe523a80def764551fa5b48
member1-0036,UIT-MLReceipts,train,images/000285.jpg,1536,2048,7,bac730b1f370924655ae21bcda4fa2c9bc7af33f5dd14817281f2dc0571e36b9
member1-0037,UIT-MLReceipts,train,images/000286.jpg,1536,2048,5,85d9c4f44419d642bc62cb0d1fa64d968dfbf5bbd2c4986303c98df8c82cb907
member1-0038,UIT-MLReceipts,train,images/000287.jpg,302,403,7,c845c0dd8c3ed07f4b66c64cc6150f8ad04349558d8036ab8f86c6e13d8dae57
member1-0039,UIT-MLReceipts,train,images/000288.jpg,2048,1152,5,c8156b5a09bacd8c29c2983d9df2f0ba3d364cea558f470fa84302b7ea06eb2c
member1-0040,UIT-MLReceipts,train,images/000289.jpg,2048,1536,8,51bb35a7821c7d9528640db45e9b5822a982cb7afb61f7cec42e4b4f9ad212b9
member1-0041,UIT-MLReceipts,train,images/000290.jpg,2048,1536,5,30a2298a3ff5e84a27fe8c1045ffa1ed1f68a183b99ba152058a1d352de19075
member1-0042,UIT-MLReceipts,train,images/000291.jpg,1152,2048,6,112f0b44aa58792e03addde688e0067d385d7aff196c5c4e2b6957a4dcf1fde0
member1-0043,UIT-MLReceipts,train,images/000292.jpg,2048,1536,4,9d714b5fa9622c1bc306e82386d2ce172015fa0a33230fa8ec562142864721ed
member1-0044,UIT-MLReceipts,train,images/000293.jpg,2048,1536,7,75615f73e524c3f19b28eaa8983da9df25da485a39cfb01ca654fd0b23a57f4e
member1-0045,UIT-MLReceipts,train,images/000294.jpg,1536,2048,7,ba48df3de3b7236c36eca144083aaa4fc75ec0ed6609a3de2c6f84ac053bbb54
member1-0046,UIT-MLReceipts,train,images/000295.jpg,2048,1536,7,4b070617c8a1552610622e39db43542e575dad7be3a17d2454782ce8af1001b5
member1-0047,UIT-MLReceipts,train,images/000296.jpg,302,403,7,1ef4f977305466421635993bfd1117b618b299059ab255bb690500c0b9c52b31
