task_id,dataset,source_split,image_file,width,height,prefilled_kie_regions,sha256
member2-0001,UIT-MLReceipts,train,images/000624.jpg,1536,2048,7,46cf902c0fac719785735e552639c6f8ec3ac13a4fa4eefaf056ef2d6e000a85
member2-0002,UIT-MLReceipts,train,images/000625.jpg,1536,2048,7,178384007fd2eb6e598eb0c664cdeaf39f3c128509f4469e42070c795c0c0e7a
member2-0003,UIT-MLReceipts,train,images/000626.jpg,1536,2048,4,490b2ddc2e50a952dbcba171131191883e1f6d294c1335ae4f55153a4e1a6a5a
member2-0004,UIT-MLReceipts,train,images/000627.jpg,2048,1536,7,67532f7358801b688d5c03e9ef81c5c9668ae2ff89659d9d2025735801704376
member2-0005,UIT-MLReceipts,train,images/000628.jpg,1536,2048,7,65c7800175f3a5cea6f45da1c1653fe612b91f32ac38e134818003025d1f8965
member2-0006,UIT-MLReceipts,train,images/000629.jpg,1536,2048,7,e8d543b59d5c884591326ac04015b27972d4abe9e4baa65d42cc533a3f84c812
member2-0007,UIT-MLReceipts,train,images/000630.jpg,2048,1536,7,8707b9e274b44755368ccbcdc92e19e5f52c2482c8a8ebd157304bf683bb1601
member2-0008,UIT-MLReceipts,train,images/000631.jpg,720,1280,5,c982cba7aff44186d96e79d30d6391e37acc5757e8f8b2d36e204cd90125428c
member2-0009,UIT-MLReceipts,train,images/000632.jpg,1920,1920,5,2221673d1fe64cf8b1ac2ac24a9f9c46521c2745f3fe2e4bd514fb551d10fcd9
member2-0010,UIT-MLReceipts,train,images/000633.jpg,2048,1536,5,39818a42ba77c3ed51ef5cded252691bdbd833e5404a0f8362c1dd533978f76d
member2-0011,UIT-MLReceipts,train,images/000634.jpg,2048,1536,5,499b43fffa07b2262340fc27c898af5f2858b60bb7fba78c9fd36899325e95f6
member2-0012,UIT-MLReceipts,train,images/000635.jpg,1536,2048,5,39f51540951f8fa8388bb6bb93ce979f12619a76ed5a58e723ed0fff2c6d05d5
member2-0013,UIT-MLReceipts,train,images/000636.jpg,1536,2048,7,6e66182e6b04d72779444581a2b6565879b9414b9e620161da28eeefba832bba
member2-0014,UIT-MLReceipts,train,images/000637.jpg,303,540,7,71d65ad6d5cf797544430c4c5beaf5faf128bb3e357d17b2a42e3ec2fbcdb456
member2-0015,UIT-MLReceipts,train,images/000638.jpg,1536,2048,5,8360b9c2500caf97311812b53a2e02ab951f5fcbcc22c47b50def44f33254cb1
member2-0016,UIT-MLReceipts,train,images/000639.jpg,2048,1536,7,5c0887a5055a2aea4fb421a44692637ac1ce3e7aa49b304181c13ec8ccb6f08d
member2-0017,UIT-MLReceipts,train,images/000640.jpg,720,960,8,c82d6ee5fb1f23343dffbb440f6c14ee9f6a87fc6653b1c8f195135a46f435fe
member2-0018,UIT-MLReceipts,train,images/000641.jpg,352,480,5,36b4ceed1ce784fff7beec38fbdf51466065dcbf28fb2c14534eedb0010cfe9e
member2-0019,UIT-MLReceipts,train,images/000642.jpg,960,1707,8,8a3e5a1b5890a1d1498e84231fb4fa373042be8259f23f94ba6783e3b593abf0
member2-0020,UIT-MLReceipts,train,images/000643.jpg,2048,1536,5,d62943a2eecf595409e4ad419786fd5f3bc891d2c65a11d1885fd4dc6ce35c09
member2-0021,UIT-MLReceipts,train,images/000644.jpg,720,960,5,7106cdd39eacc9db3c412c8b9c8cf7caa6f34e84a68c4eca6046541c552c0b59
member2-0022,UIT-MLReceipts,train,images/000645.jpg,1276,956,5,baf35813c893a465d1dabaa3ff985eb07c47304430b12cbf1000a389241cd987
member2-0023,UIT-MLReceipts,train,images/000646.jpg,1536,2048,9,a29f16809b8938d2bf13c6ca74cf09ec311b06b3e98b9c6925cde30a8d4d9402
member2-0024,UIT-MLReceipts,train,images/000647.jpg,2048,1536,7,91d6de21fe703a4e63ec5f5e8fd028b45c2d81797f369632171989ca65edd0b1
member2-0025,UIT-MLReceipts,train,images/000648.jpg,956,1276,7,d5d6a89860efec1979b5b0944492da8103bd02b10f0b27640efacecb2319fab4
member2-0026,UIT-MLReceipts,train,images/000649.jpg,1536,2048,6,da404b2e7e250123bbaa301319eeca37055137f39a5574a3e6dc98b2c9f22528
member2-0027,UIT-MLReceipts,train,images/000650.jpg,1536,2048,4,06c6e1a5f067f24aebc98bbeb23cc32fd39241d9dfc181ce804239d45ef6eb63
member2-0028,UIT-MLReceipts,train,images/000651.jpg,1536,2048,7,33cb2f0d38c61b2bd20ed2a66ff448b07f80a390e4dde5cd1be64b180868b6cc
member2-0029,UIT-MLReceipts,train,images/000652.jpg,720,960,8,e08d18b6ecaf89905b701392e3b08009620f57cc8dc5834110e6e8f181d97d97
member2-0030,UIT-MLReceipts,train,images/000653.jpg,960,1280,5,f74f60aeb803dce15cbbc92d647a7d28d818719bc7cb1b6db061972c01197d8e
member2-0031,UIT-MLReceipts,train,images/000654.jpg,956,1276,5,ff966e8a15ed95a9184c4900d919599a51da3e86200de202235ad322f61b203a
member2-0032,UIT-MLReceipts,train,images/000655.jpg,1536,2048,4,84b0fb73a754da34fac33acaa1eaa7021d93eddca9e383beaa5a1347e55576db
member2-0033,UIT-MLReceipts,train,images/000656.jpg,956,1276,4,f7d346eb84cca97702f51c6c15c750e9243812d107b799d29061001afd384dcc
member2-0034,UIT-MLReceipts,train,images/000657.jpg,956,1276,6,f6f480fdffe90f665fd2fe80283423b60c21fd32cac14c330b088a2f10221381
member2-0035,UIT-MLReceipts,train,images/000658.jpg,1536,2048,5,651b7420b33f0ceecd030480d65e5dd4096ccedb0b8804d38ef9889ca024e4a3
member2-0036,UIT-MLReceipts,train,images/000659.jpg,720,1280,6,0225b7316b7e601f9c371dc32ae79763fe6a272bdc8181d296c5965b0986930f
member2-0037,UIT-MLReceipts,train,images/000660.jpg,1536,2048,7,d2337baf649279c4bcde6620ded969f6a524fccc6f23c5d092061ad7d36ccec1
member2-0038,UIT-MLReceipts,train,images/000661.jpg,1536,2048,7,d6d510ca72e85ad84779bd3d0891324bee12d9284be78dc854f579c456d0e44c
