round,task_id,member,dataset,source_split,image_id,image_file,width,height,package,source_image,sha256
round2,r2-member4-MC-OCR-train-mcocr_public_145014cgbau,member4,MC-OCR,train,mcocr_public_145014cgbau,images/mcocr_public_145014cgbau.jpg,768,1024,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cgbau.jpg,9724ffcf069a535ad9419dd56a377fce6b0803c2a26c42cb8b5a5a212a5f8104
round2,r2-member4-MC-OCR-train-mcocr_public_145014cgzmv,member4,MC-OCR,train,mcocr_public_145014cgzmv,images/mcocr_public_145014cgzmv.jpg,768,1024,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cgzmv.jpg,7c6d77ec38f0f850a9108c8a7742e40cfd254baf3ac43fc5f5e6c37860a0827e
round2,r2-member4-MC-OCR-train-mcocr_public_145014chqzo,member4,MC-OCR,train,mcocr_public_145014chqzo,images/mcocr_public_145014chqzo.jpg,1024,1366,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014chqzo.jpg,42c9abc6e7982fadb717b93c4bc5c29f83da59519dab58e6e04971e472b5d65c
round2,r2-member4-MC-OCR-train-mcocr_public_145014ckynq,member4,MC-OCR,train,mcocr_public_145014ckynq,images/mcocr_public_145014ckynq.jpg,960,1280,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014ckynq.jpg,fde298be12a2d7da12ac2c045c565fdd58bccc4c71cec014231396c91c0d8ca1
round2,r2-member4-MC-OCR-train-mcocr_public_145014clbzb,member4,MC-OCR,train,mcocr_public_145014clbzb,images/mcocr_public_145014clbzb.jpg,472,1024,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014clbzb.jpg,aaf234c9e9db45bb41e0333148eb553b9d8ff6ebb8c96f5839cef03004883484
round2,r2-member4-MC-OCR-train-mcocr_public_145014cmafd,member4,MC-OCR,train,mcocr_public_145014cmafd,images/mcocr_public_145014cmafd.jpg,768,1024,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cmafd.jpg,e483b9706cd1721d34dbf0a4b31c0469ff751baaf0cad79dc19b7bd0d724a0b7
round2,r2-member4-MC-OCR-train-mcocr_public_145014cmcvj,member4,MC-OCR,train,mcocr_public_145014cmcvj,images/mcocr_public_145014cmcvj.jpg,590,1280,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cmcvj.jpg,97e01c393ff8c3c69f72ee4750ecce24359858b6beb92552468b66d3d6ea0717
round2,r2-member4-MC-OCR-train-mcocr_public_145014cmdbw,member4,MC-OCR,train,mcocr_public_145014cmdbw,images/mcocr_public_145014cmdbw.jpg,1024,576,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cmdbw.jpg,71844aa4ebd06b7c1e05e0e27ebbb3532a0c31875606b01c7afef57c63493881
round2,r2-member4-MC-OCR-train-mcocr_public_145014cmghn,member4,MC-OCR,train,mcocr_public_145014cmghn,images/mcocr_public_145014cmghn.jpg,472,1024,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cmghn.jpg,37a1c0a054b1707f1a0a4deb8adc749a3ac05b68ac50a7a892488884731daf5f
round2,r2-member4-MC-OCR-train-mcocr_public_145014cnkgs,member4,MC-OCR,train,mcocr_public_145014cnkgs,images/mcocr_public_145014cnkgs.jpg,576,1024,member4/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145014cnkgs.jpg,73900792f9dfc960d94fc6250dc2aa2aee27cb972b58e546dfadb5c5229248ad
