round,task_id,member,dataset,source_split,image_id,image_file,width,height,package,source_image,sha256
round2,r2-member8-UIT-MLReceipts-train-000001,member8,UIT-MLReceipts,train,000001,images/000001.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000001.jpg,f75981e26a38a188475157d68a9bd0887b88650733318eb9e701405c30b61baf
round2,r2-member8-UIT-MLReceipts-train-0000010,member8,UIT-MLReceipts,train,0000010,images/0000010.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/0000010.jpg,64ad5cc6b73b454d9379dee17d5ea8773e6447b5f870a63c1422a18a415c9815
round2,r2-member8-UIT-MLReceipts-train-000002,member8,UIT-MLReceipts,train,000002,images/000002.jpg,1376,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000002.jpg,cc37aca73c17d69840e775d408d086e5839bfad89a364742d23d35d2ff2f74ed
round2,r2-member8-UIT-MLReceipts-train-000003,member8,UIT-MLReceipts,train,000003,images/000003.jpg,302,403,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000003.jpg,8784f155f8051ca2358fd896701396fecbdf9a30d2d08fa184d3b1c3daae4bdd
round2,r2-member8-UIT-MLReceipts-train-000004,member8,UIT-MLReceipts,train,000004,images/000004.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000004.jpg,452997d8a0ada17e74414d9e8ca6f94bec56fca40e9de7dc8553e171bb7dc850
round2,r2-member8-UIT-MLReceipts-train-000005,member8,UIT-MLReceipts,train,000005,images/000005.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000005.jpg,64b0c4d8273b1c1f58ca5aecd3d3d85746f28d060581d9a1dfefefd3b8e12e87
round2,r2-member8-UIT-MLReceipts-train-000006,member8,UIT-MLReceipts,train,000006,images/000006.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000006.jpg,1d7d8a7b503e730aee31d4ca6ff81ab8b6b84ebaffcc2420d0a0ee2eaf3dc32b
round2,r2-member8-UIT-MLReceipts-train-000007,member8,UIT-MLReceipts,train,000007,images/000007.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000007.jpg,a0ddb6723f7df30a4341d31a1e6d431e2d291306ffd80d7d95b63ec0f48b9868
round2,r2-member8-UIT-MLReceipts-train-000008,member8,UIT-MLReceipts,train,000008,images/000008.jpg,1276,956,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000008.jpg,71c367c5c759fc3f354a2314e63462d38a013e7b362174b6f45f51e015007958
round2,r2-member8-UIT-MLReceipts-train-000009,member8,UIT-MLReceipts,train,000009,images/000009.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000009.jpg,063ed2cdba2e87e16abaf3ca8c59718e329a7ac9e0e86d4bf5f536ff686ae850
round2,r2-member8-UIT-MLReceipts-train-0000100,member8,UIT-MLReceipts,train,0000100,images/0000100.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/0000100.jpg,7b171dc37f675e62dbadf0a518101fe623b7b3a2a6b3069bfb2632e3293045f9
round2,r2-member8-UIT-MLReceipts-train-000011,member8,UIT-MLReceipts,train,000011,images/000011.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000011.jpg,9f6a8f3e4e02ca9c2abcc6f473be8f8918a924993c46dae3914bccf46bb6de23
round2,r2-member8-UIT-MLReceipts-train-000012,member8,UIT-MLReceipts,train,000012,images/000012.jpg,302,403,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000012.jpg,6cde908995207ec43178d248b5870205e1c193517c9822fd8c887aa3f15052c6
round2,r2-member8-UIT-MLReceipts-train-000013,member8,UIT-MLReceipts,train,000013,images/000013.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000013.jpg,0d0dbdbf148a30fc5caec03a0597d87f595252731de8b244f42ee46b5c5325d7
round2,r2-member8-UIT-MLReceipts-train-000014,member8,UIT-MLReceipts,train,000014,images/000014.jpg,632,1280,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000014.jpg,7fe7db650c06991fdce580d46b1a8a88c0c41c821914bdbe8a9e05162aff6abe
round2,r2-member8-UIT-MLReceipts-train-000015,member8,UIT-MLReceipts,train,000015,images/000015.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000015.jpg,b257a8aa20ca26ac66db8acec00af6cb7cdb2fa646475bd7b8349e63801dd383
round2,r2-member8-UIT-MLReceipts-train-000016,member8,UIT-MLReceipts,train,000016,images/000016.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000016.jpg,fee658fa5d96f7fc035cabb5d06d79584d536ca9ab12d5e9511c835a9d9605b3
round2,r2-member8-UIT-MLReceipts-train-000017,member8,UIT-MLReceipts,train,000017,images/000017.jpg,956,1276,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000017.jpg,e02f6fbebb4ccd83f2f48bad4e1071b53f3c2edb618285b5efd6ff6de32f577d
round2,r2-member8-UIT-MLReceipts-train-000018,member8,UIT-MLReceipts,train,000018,images/000018.jpg,472,990,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000018.jpg,6cb757eef65bb427b0761065ec032371569073e49a6d8bb16648a031a8f65ffb
round2,r2-member8-UIT-MLReceipts-train-000019,member8,UIT-MLReceipts,train,000019,images/000019.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000019.jpg,1f7f823ef5e52f2fe11ee78301705be9eee55f93b39b3b98128773b0f476ed98
round2,r2-member8-UIT-MLReceipts-train-000020,member8,UIT-MLReceipts,train,000020,images/000020.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000020.jpg,253d53c7bab812dd8eb7ff37f4e2bf6681343cda04d5403efae56a4162070c9c
round2,r2-member8-UIT-MLReceipts-train-000021,member8,UIT-MLReceipts,train,000021,images/000021.jpg,1536,2048,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000021.jpg,9913acf96fd56c69d6bac2efb37396a875a9957319b6052b4065970ffd4514df
round2,r2-member8-UIT-MLReceipts-train-000022,member8,UIT-MLReceipts,train,000022,images/000022.jpg,2048,1536,member8/UIT-MLReceipts/train,dataset/UIT-MLReceipts/Clean/train/000022.jpg,c7472cdc3f25794beec3151a70944b9dd4dce7327fbdd9245687f0eb58fd104e
